country_name, Index_of_happiness, global_rank, available_data_date, regions
Botswana,3.47,137,2013-2021,European union
Rwanda,3.27,138,2013-2021,European union
Zimbabwe,3,139,2013-2021,European union
Líbano,2.96,140,2013-2021,European union
Afganistán,2.4,141,2013-2021,European union
Finlandia,7.82,1,2013-2021,Eurozone
Dinamarca,7.64,2,2013-2021,Eurozone
Islandia,7.56,3,2013-2021,Eurozone
Suiza,7.51,4,2013-2021,Eurozone
Países Bajos,7.41,5,2013-2021,Eurozone
Luxemburgo,7.4,6,2013-2021,Eurozone
Suecia,7.38,7,2013-2021,Eurozone
Noruega,7.37,8,2013-2021,Eurozone
Israel,7.36,9,2013-2021,Eurozone
Nueva Zelanda,7.2,10,2013-2021,Eurozone
Australia,7.16,11,2013-2021,Eurozone
Austria,7.16,12,2013-2021,Eurozone
Irlanda,7.04,13,2013-2021,Eurozone
Alemania,7.03,14,2013-2021,Eurozone
Canadá,7.03,15,2013-2021,Eurozone
Estados Unidos,6.98,16,2013-2021,Eurozone
Reino Unido,6.94,17,2013-2021,Eurozone
República Checa,6.92,18,2013-2021,Eurozone
Bélgica,6.8,19,2013-2021,Eurozone
Francia,6.69,20,2013-2021,Eurozone
Bahrein,6.65,21,2013-2021,Eurozone
Eslovenia,6.63,22,2013-2021,Eurozone
Costa Rica,6.58,23,2013-2021,Eurozone
Emir. Árab. Uni.,6.58,24,2013-2021,Eurozone
Arabia Saudita,6.52,25,2013-2021,Eurozone
Taiwan,6.51,26,2013-2021,Eurozone
España,6.48,27,2013-2021,Eurozone
Romania,6.48,28,2013-2021,Eurozone
Singapur,6.48,29,2013-2021,Eurozone
Italia,6.47,30,2013-2021,Eurozone
Uruguay,6.47,31,2013-2021,Eurozone
Lituania,6.45,32,2013-2021,Eurozone
Malta,6.45,33,2013-2021,Eurozone
Rep. Eslovaca,6.39,34,2013-2021,Eurozone
Estonia,6.34,35,2013-2021,Eurozone
Panamá,6.31,36,2013-2021,Eurozone
Brasil,6.29,37,2013-2021,Eurozone
Guatemala,6.26,38,2013-2021,Eurozone
Kazajstán,6.23,39,2013-2021,Eurozone
Chipre,6.22,40,2013-2021,Eurozone
Letonia,6.18,41,2013-2021,Eurozone
Serbia,6.18,42,2013-2021,Eurozone
Chile,6.17,43,2013-2021,Eurozone
Nicaragua,6.16,44,2013-2021,Eurozone
Croacia,6.13,45,2013-2021,Eurozone
México,6.13,46,2013-2021,Eurozone
El Salvador,6.12,47,2013-2021,Eurozone
Polonia,6.12,48,2013-2021,Eurozone
Kuwait,6.11,49,2013-2021,Eurozone
Hungría,6.09,50,2013-2021,Eurozone
Mauricio,6.07,51,2013-2021,Eurozone
Uzbekistán,6.06,52,2013-2021,Eurozone
Japón,6.04,53,2013-2021,Eurozone
Honduras,6.02,54,2013-2021,Eurozone
Portugal,6.02,55,2013-2021,Eurozone
Argentina,5.97,56,2013-2021,Eurozone
Grecia,5.95,57,2013-2021,Eurozone
Corea del Sur,5.94,58,2013-2021,Eurozone
Filipinas,5.9,59,2013-2021,Eurozone
Tailandia,5.89,60,2013-2021,Eurozone
Rep. de Moldova,5.86,61,2013-2021,Eurozone
Jamaica,5.85,62,2013-2021,Eurozone
Kirguistán,5.83,63,2013-2021,Eurozone
Belarús,5.82,64,2013-2021,Eurozone
Colombia,5.78,65,2013-2021,Eurozone
Bosnia y Herz.,5.77,66,2013-2021,Eurozone
Mongolia,5.76,67,2013-2021,Eurozone
Rep. Dominicana,5.74,68,2013-2021,Eurozone
Malasia,5.71,69,2013-2021,Eurozone
Bolivia,5.6,70,2013-2021,Eurozone
China,5.59,71,2013-2021,Eurozone
Paraguay,5.58,72,2013-2021,Eurozone
Perú,5.56,73,2013-2021,Eurozone
Montenegro,5.55,74,2013-2021,Eurozone
Ecuador,5.53,75,2013-2021,Eurozone
Viet Nam,5.49,76,2013-2021,Eurozone
Turkmenistán,5.47,77,2013-2021,Eurozone
Rusia,5.46,78,2013-2021,Eurozone
Hong Kong,5.42,79,2013-2021,Eurozone
Armenia,5.4,80,2013-2021,Eurozone
Nepal,5.38,81,2013-2021,Eurozone
Tayikistán,5.38,82,2013-2021,Eurozone
Bulgaria,5.37,83,2013-2021,Eurozone
Libia,5.33,84,2013-2021,Eurozone
Indonesia,5.24,85,2013-2021,Eurozone
Côte d'Ivoire,5.23,86,2015-2021,Eurozone
Albania,5.2,87,2013-2021,Eurozone
Macedonia,5.2,88,2013-2021,Eurozone
Sudáfrica,5.19,89,2013-2021,Eurozone
Azerbaiyán,5.17,90,2013-2021,Eurozone
Bangladesh,5.16,91,2013-2021,Eurozone
Gambia,5.16,92,2019-2021,Eurozone
Laos,5.14,93,2013-2021,Eurozone
Argelia,5.12,94,2013-2021,Eurozone
Liberia,5.12,95,2013-2021,Eurozone
Ukraine,5.08,96,2013-2021,Eurozone
Marruecos,5.06,97,2013-2021,Eurozone
Camerún,5.05,98,2013-2021,Eurozone
Mozambique,5.05,99,2017-2021,Eurozone
Senegal,5.05,100,2013-2021,Eurozone
Níger,5,101,2013-2021,Eurozone
Georgia,4.97,102,2013-2021,Eurozone
Gabón,4.96,103,2013-2021,Eurozone
Iraq,4.94,104,2013-2021,Eurozone
Venezuela,4.93,105,2013-2021,Eurozone
Guinea,4.89,106,2013-2021,Eurozone
Irán,4.89,107,2013-2021,Eurozone
Ghana,4.87,108,2013-2021,Eurozone
Turquía,4.74,109,2013-2021,Eurozone
Burkina Faso,4.67,110,2013-2021,Eurozone
Camboya,4.64,111,2013-2021,Eurozone
Benin,4.62,112,2013-2021,Eurozone
Uganda,4.6,113,2013-2021,Eurozone
Nigeria,4.55,114,2013-2021,Eurozone
Kenya,4.54,115,2013-2021,Eurozone
Pakistán,4.52,116,2013-2021,Eurozone
Túnez,4.52,117,2013-2021,Eurozone
Malí,4.48,118,2013-2021,Eurozone
Namibia,4.46,119,2016-2021,Eurozone
Swazilandia,4.4,120,2013-2021,Eurozone
Myanmar,4.39,121,2013-2021,Eurozone
Sri Lanka,4.36,122,2013-2021,Eurozone
Madagascar,4.34,123,2013-2021,Eurozone
Egipto,4.29,124,2013-2021,Eurozone
Chad,4.25,125,2013-2021,Eurozone
Etiopía,4.24,126,2013-2021,Eurozone
Yemen,4.2,127,2013-2021,Eurozone
Jordania,4.15,128,2013-2021,Eurozone
Mauritania,4.15,129,2013-2021,Eurozone
Togo,4.11,130,2013-2021,Eurozone
India,3.78,131,2013-2021,Eurozone
Zambia,3.76,132,2013-2021,Eurozone
Malawi,3.75,133,2013-2021,Eurozone
Tanzanía,3.7,134,2013-2021,Eurozone
Sierra Leona,3.57,135,2013-2021,Eurozone
Lesotho,3.51,136,2013-2021,Eurozone
Botswana,3.47,137,2013-2021,Eurozone
Rwanda,3.27,138,2013-2021,Eurozone
Zimbabwe,3,139,2013-2021,Eurozone
Líbano,2.96,140,2013-2021,Eurozone
Afganistán,2.4,141,2013-2021,Eurozone
Finlandia,7.82,1,2013-2021,Sub Sahara Africa
Dinamarca,7.64,2,2013-2021,Sub Sahara Africa
Islandia,7.56,3,2013-2021,Sub Sahara Africa
Suiza,7.51,4,2013-2021,Sub Sahara Africa
Países Bajos,7.41,5,2013-2021,Sub Sahara Africa
Luxemburgo,7.4,6,2013-2021,Sub Sahara Africa
Suecia,7.38,7,2013-2021,Sub Sahara Africa
Noruega,7.37,8,2013-2021,Sub Sahara Africa
Israel,7.36,9,2013-2021,Sub Sahara Africa
Nueva Zelanda,7.2,10,2013-2021,Sub Sahara Africa
Australia,7.16,11,2013-2021,Sub Sahara Africa
Austria,7.16,12,2013-2021,Sub Sahara Africa
Irlanda,7.04,13,2013-2021,Sub Sahara Africa
Alemania,7.03,14,2013-2021,Sub Sahara Africa
Canadá,7.03,15,2013-2021,Sub Sahara Africa
Estados Unidos,6.98,16,2013-2021,Sub Sahara Africa
Reino Unido,6.94,17,2013-2021,Sub Sahara Africa
República Checa,6.92,18,2013-2021,Sub Sahara Africa
Bélgica,6.8,19,2013-2021,Sub Sahara Africa
Francia,6.69,20,2013-2021,Sub Sahara Africa
Bahrein,6.65,21,2013-2021,Sub Sahara Africa
Eslovenia,6.63,22,2013-2021,Sub Sahara Africa
Costa Rica,6.58,23,2013-2021,Sub Sahara Africa
Emir. Árab. Uni.,6.58,24,2013-2021,Sub Sahara Africa
Arabia Saudita,6.52,25,2013-2021,Sub Sahara Africa
Taiwan,6.51,26,2013-2021,Sub Sahara Africa
España,6.48,27,2013-2021,Sub Sahara Africa
Romania,6.48,28,2013-2021,Sub Sahara Africa
Singapur,6.48,29,2013-2021,Sub Sahara Africa
Italia,6.47,30,2013-2021,Sub Sahara Africa
Uruguay,6.47,31,2013-2021,Sub Sahara Africa
Lituania,6.45,32,2013-2021,Sub Sahara Africa
Malta,6.45,33,2013-2021,Sub Sahara Africa
Rep. Eslovaca,6.39,34,2013-2021,Sub Sahara Africa
Estonia,6.34,35,2013-2021,Sub Sahara Africa
Panamá,6.31,36,2013-2021,Sub Sahara Africa
Brasil,6.29,37,2013-2021,Sub Sahara Africa
Guatemala,6.26,38,2013-2021,Sub Sahara Africa
Kazajstán,6.23,39,2013-2021,Sub Sahara Africa
Chipre,6.22,40,2013-2021,Sub Sahara Africa
Letonia,6.18,41,2013-2021,Sub Sahara Africa
Serbia,6.18,42,2013-2021,Sub Sahara Africa
Chile,6.17,43,2013-2021,Sub Sahara Africa
Nicaragua,6.16,44,2013-2021,Sub Sahara Africa
Croacia,6.13,45,2013-2021,Sub Sahara Africa
México,6.13,46,2013-2021,Sub Sahara Africa
